Region,Total.cases,Acitve.cases,Totalrecovered,Totaldeaths,Test,Isolation.all,Isolation.current
Cairns and Hinterland,39,0,38,0,1030765,"3,360",91
Central Queensland,10,0,10,0,1030765,"1,441",8
Central West,0,0,0,0,1030765,0,0
Darling Downs,46,0,44,2,1030765,"2,431",61
Gold Coast,199,1,199,0,1030765,"18,037",1605
Mackay,16,0,16,0,1030765,"1,457",12
Mater Health Service,0,0,0,0,1030765,0,0
Metro North,326,1,321,3,1030765,"28,417","2,253"
Metro South,293,5,285,0,1030765,"20,003",707
North West,0,0,0,0,1030765,0,0
South West,0,0,0,0,1030765,0,0
Sunshine Coast,97,1,96,1,1030765,"6,558",38
Torres and Cape,0,0,0,0,1030765,0,0
Townsville,30,0,29,0,1030765,"1,950",51
West Moreton,69,19,48,0,1030765,"4,047",329
Wide Bay,25,0,25,0,1030765,"1,932",13
Interstate/Other,0,0,0,0,1030765,"9,041",30
